iter	Passed	Remaining
0	2	1246
1	5	1296
2	7	1288
3	11	1440
4	13	1384
5	16	1351
6	18	1318
7	20	1271
8	23	1257
9	27	1327
10	30	1339
11	33	1348
12	35	1336
13	38	1325
14	40	1299
15	42	1291
16	45	1285
17	46	1250
18	49	1244
19	51	1239
20	54	1232
21	58	1260
22	62	1298
23	70	1395
24	74	1414
25	77	1404
26	79	1396
27	82	1388
28	84	1380
29	90	1413
30	92	1402
31	95	1399
32	98	1394
33	104	1433
34	108	1444
35	113	1466
36	118	1485
37	122	1488
38	125	1482
39	128	1472
40	130	1461
41	134	1467
42	137	1462
43	140	1454
44	143	1455
45	146	1449
46	151	1459
47	154	1450
48	156	1443
49	159	1435
50	162	1429
51	169	1463
52	176	1487
53	178	1478
54	187	1513
55	190	1513
56	194	1511
57	200	1525
58	206	1541
59	209	1539
60	215	1551
61	224	1585
62	227	1574
63	232	1583
64	235	1574
65	238	1569
66	242	1569
67	249	1581
68	251	1573
69	257	1580
70	260	1572
71	264	1572
72	267	1564
73	270	1557
74	273	1548
75	276	1542
76	279	1537
77	284	1537
78	290	1550
79	295	1549
80	297	1540
81	300	1531
82	303	1522
83	305	1515
84	314	1534
85	321	1547
86	331	1575
87	340	1593
88	347	1605
89	358	1631
90	369	1662
91	379	1684
92	389	1703
93	398	1720
94	408	1741
95	417	1756
96	427	1775
97	436	1790
98	448	1816
99	459	1837
100	464	1836
101	467	1823
102	470	1811
103	474	1806
104	476	1794
105	480	1785
106	483	1774
107	488	1772
108	491	1762
109	494	1751
110	497	1741
111	501	1736
112	506	1735
113	509	1725
114	513	1719
115	516	1709
116	520	1702
117	522	1693
118	526	1685
119	530	1679
120	533	1670
121	538	1669
122	541	1660
123	544	1650
124	548	1645
125	552	1639
126	554	1629
127	557	1620
128	559	1610
129	562	1600
130	564	1590
131	567	1581
132	571	1577
133	574	1567
134	576	1558
135	579	1550
136	582	1542
137	586	1539
138	589	1530
139	592	1522
140	595	1515
141	599	1511
142	603	1506
143	607	1500
144	609	1492
145	612	1484
146	614	1476
147	618	1471
148	624	1470
149	628	1465
150	630	1458
151	635	1455
152	639	1449
153	641	1441
154	644	1433
155	646	1426
156	650	1421
157	653	1414
158	656	1408
159	659	1400
160	661	1393
161	667	1391
162	669	1385
163	672	1378
164	675	1371
165	678	1364
166	682	1361
167	686	1356
168	689	1350
169	693	1345
170	697	1342
171	700	1335
172	702	1328
173	705	1322
174	708	1316
175	712	1312
176	716	1306
177	718	1300
178	721	1294
179	724	1287
180	729	1285
181	732	1279
182	735	1274
183	738	1268
184	741	1262
185	745	1258
186	749	1253
187	752	1248
188	754	1242
189	758	1237
190	762	1233
191	766	1229
192	770	1224
193	773	1220
194	779	1218
195	783	1214
196	786	1209
197	790	1205
198	795	1203
199	798	1197
200	800	1191
201	803	1185
202	806	1179
203	810	1175
204	813	1170
205	815	1164
206	818	1158
207	821	1153
208	826	1150
209	829	1144
210	834	1142
211	837	1137
212	842	1134
213	845	1130
214	848	1124
215	851	1119
216	854	1114
217	859	1112
218	862	1106
219	865	1101
220	871	1100
221	875	1096
222	878	1090
223	881	1085
224	883	1080
225	886	1074
226	891	1072
227	894	1067
228	897	1061
229	900	1056
230	902	1051
231	907	1047
232	910	1043
233	913	1038
234	915	1032
235	923	1032
236	929	1031
237	931	1025
238	934	1020
239	939	1017
240	941	1012
241	944	1007
242	948	1003
243	954	1000
244	957	996
245	959	991
246	962	986
247	966	981
248	969	977
249	972	972
250	975	967
251	978	962
252	981	958
253	986	955
254	989	950
255	992	945
256	996	942
257	1002	939
258	1004	934
259	1007	930
260	1010	925
261	1013	920
262	1018	917
263	1022	913
264	1024	908
265	1027	903
266	1029	898
267	1033	894
268	1036	890
269	1040	886
270	1043	881
271	1048	878
272	1054	876
273	1060	875
274	1064	871
275	1068	866
276	1070	861
277	1073	857
278	1076	852
279	1079	847
280	1083	844
281	1086	839
282	1088	834
283	1091	829
284	1094	825
285	1098	821
286	1102	817
287	1106	814
288	1110	810
289	1115	807
290	1117	802
291	1120	798
292	1123	794
293	1141	799
294	1144	795
295	1149	792
296	1152	787
297	1155	782
298	1158	778
299	1162	775
300	1166	771
301	1170	767
302	1173	762
303	1180	761
304	1183	756
305	1189	753
306	1192	749
307	1197	746
308	1200	741
309	1203	737
310	1206	733
311	1211	729
312	1215	725
313	1217	721
314	1220	716
315	1223	712
316	1227	708
317	1231	704
318	1234	700
319	1238	696
320	1242	692
321	1249	690
322	1252	686
323	1255	681
324	1259	677
325	1263	674
326	1266	669
327	1270	666
328	1275	662
329	1278	658
330	1280	653
331	1283	649
332	1286	645
333	1289	641
334	1292	636
335	1295	632
336	1298	628
337	1301	623
338	1306	620
339	1310	616
340	1312	612
341	1317	608
342	1320	604
343	1325	601
344	1328	596
345	1331	592
346	1334	588
347	1340	585
348	1343	581
349	1347	577
350	1349	572
351	1353	568
352	1356	564
353	1359	560
354	1361	556
355	1364	551
356	1367	547
357	1373	544
358	1377	540
359	1379	536
360	1382	532
361	1387	528
362	1390	524
363	1392	520
364	1395	516
365	1397	511
366	1402	508
367	1404	503
368	1407	499
369	1413	496
370	1417	493
371	1420	488
372	1424	485
373	1427	481
374	1430	476
375	1435	473
376	1437	469
377	1441	465
378	1444	461
379	1447	457
380	1452	453
381	1455	449
382	1459	445
383	1463	442
384	1468	438
385	1471	434
386	1474	430
387	1478	426
388	1482	423
389	1485	419
390	1489	415
391	1492	411
392	1496	407
393	1503	404
394	1506	400
395	1509	396
396	1511	392
397	1515	388
398	1518	384
399	1521	380
400	1524	376
401	1531	373
402	1534	369
403	1536	365
404	1539	361
405	1541	356
406	1546	353
407	1551	349
408	1554	345
409	1559	342
410	1574	340
411	1587	339
412	1601	337
413	1611	334
414	1619	331
415	1627	328
416	1637	325
417	1652	324
418	1666	322
419	1679	319
420	1690	317
421	1703	314
422	1710	311
423	1716	307
424	1744	307
425	1755	304
426	1763	301
427	1767	297
428	1770	293
429	1774	288
430	1777	284
431	1780	280
432	1785	276
433	1788	272
434	1793	267
435	1796	263
436	1798	259
437	1801	255
438	1804	250
439	1808	246
440	1811	242
441	1814	238
442	1817	233
443	1820	229
444	1824	225
445	1828	221
446	1831	217
447	1834	212
448	1836	208
449	1841	204
450	1844	200
451	1849	196
452	1858	192
453	1866	189
454	1870	184
455	1874	180
