iter	Logloss
0	0.5096158234
1	0.4081513172
2	0.348847726
3	0.3153634263
4	0.2949250192
5	0.282558413
6	0.2731638681
7	0.2681411918
8	0.2645722752
9	0.2595056645
10	0.2563021623
11	0.2530562237
12	0.2504769191
13	0.2483159424
14	0.2467116892
15	0.2453050305
16	0.2444284128
17	0.2413997436
18	0.2379165163
19	0.2370319426
20	0.235807676
21	0.2351667518
22	0.2342094433
23	0.2330736728
24	0.2321275057
25	0.2315143185
26	0.2307633688
27	0.2300731711
28	0.2288904523
29	0.2281453925
30	0.2274955611
31	0.2268968996
32	0.2263359378
33	0.2255721303
34	0.2248254937
35	0.2239937276
36	0.223260227
37	0.2227508332
38	0.2220827858
39	0.2217353358
